,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Gefitinib,-0.31412658,0.037320435,0.30470878,1.3105146,-0.5116678,0.040940296,0.07050949,-0.05308255,0.08912036,-0.21335936,-0.28495374,-0.6291048,0.5144377,1.263046,-0.11648564,0.114217065,0.75102973,0.24051768,0.557695,-0.15097436,-0.26877046,0.66864246,0.6505578,0.14205697,1.1405418,-1.4335617,0.28801677,-0.22161856,0.012639844,-0.18007591,0.35267267,-0.19628865,-0.47995928,0.94072425,0.4670375,-0.13356557,-0.6183617,-0.15254992,0.9200991,0.8143028,0.26708385,0.26379117,0.4261898,-0.65482,0.33991328,0.32654688,0.3161209,-0.18179746,0.39674744,-0.23908488,0.06656123,0.350083,-1.1357938,0.0020433892,-0.14365357,0.8586807,-0.940382,0.41159713,0.686713,0.26189232,-0.47148788,-0.21998058,-0.48815274,-0.91532415
Trametinib,-0.03155831,-0.4741622,1.0340488,0.1784395,-0.42583725,0.06745125,-0.26419982,0.00020092196,0.7864078,1.7177873,0.3871787,0.6949824,0.1482618,0.0034361803,0.74745893,-0.7555657,-0.5284859,-0.21140353,-0.43375558,-1.1327195,0.05969109,0.47274765,-0.9189571,-0.33272097,0.59634006,-1.4223504,-0.30007377,0.5917107,0.40811,0.2468852,-0.22186375,0.2745536,-0.60210615,0.15352397,-0.3252066,-0.05136566,-1.1553146,0.09825287,-1.582259,-0.1327541,-0.51206243,-0.24073629,0.07569241,0.14722113,0.20658934,0.86772543,0.23652515,0.32857877,0.814272,-0.0020907244,0.3109701,-0.08529925,0.60382444,-0.0942583,-0.2105382,0.39725435,-1.2477682,-0.045338217,-0.36327675,-0.074187554,1.2648274,-0.64385194,0.8828413,0.124290586
KRAS_G12D,0.04570801,0.5864987,-0.026188567,-1.0387958,0.567396,1.5574797,0.20246886,-0.08958941,0.20915894,0.18145397,-0.08856067,-1.1825088,0.1158107,0.2130182,-1.6891048,-0.47778547,0.8007519,0.020200463,0.07000043,-0.11822456,-0.46539202,-0.19870405,0.08647438,-0.13386971,0.020582112,0.60892504,-0.36823368,-0.09002588,-0.26659995,0.020789452,0.10076373,0.4264066,-0.29859534,0.32983977,-0.4684697,-0.11904489,-0.05674343,0.44110954,-0.040379964,-0.3272337,-0.1605125,-0.78629905,0.7791185,-0.027246643,1.0497017,0.5705312,0.1137051,-0.08743981,0.29386872,-0.02229906,-0.22089513,-0.5999267,-0.04422629,0.7204888,-0.129403,-0.15548202,0.08347804,-0.6807717,0.24380688,0.31940264,0.11053131,-0.21785864,-0.047619786,0.12020622
Dabrafenib,0.37851375,0.5128241,0.114277214,-0.5501565,0.27339026,0.38078153,1.0837132,0.382645,-0.716317,0.67917985,2.0911393,-0.7113466,0.43531862,0.22802411,-0.37008265,0.77764773,-1.6028168,-0.5358358,-0.09569375,-0.5873827,0.7215651,-1.4369749,0.40938988,-0.13416022,3.304992,-0.17566827,-1.4368714,-0.56322145,-0.18688712,-0.24163786,-0.5440193,-0.043489307,-1.0271757,0.30708325,0.2113902,-0.47197282,-0.25399226,0.40773344,-0.008043415,0.8517533,0.22826032,-0.5219181,0.5427634,0.43109936,-0.3010408,-0.4949852,-0.3242738,0.14799738,0.8203385,-0.21736804,0.8355596,2.380746,-0.06830357,0.057558406,1.4996065,-0.08854561,0.17246304,-1.0813677,1.0345979,-1.2256502,-0.3919724,-1.1606536,-0.27730677,-0.029261969
EML4::ALK,-0.22537713,-0.42034477,-0.94583714,0.12159747,0.017473789,-0.16511765,-0.08267164,-0.090075,0.08329652,-0.32405934,-0.25871357,1.0818833,0.1636574,-0.23113124,0.8997949,0.14851932,-0.70425457,0.042838037,-0.08319172,0.20492852,0.24068409,0.13215609,-0.1866843,-0.59088033,-0.2531826,0.62755585,0.58729845,0.0962209,-0.46365386,-0.019487517,1.2760466,-0.020099198,-0.39207464,0.2279804,0.533145,0.14813532,0.6939576,-0.026833013,0.16243824,0.8280105,0.61027837,1.1997952,0.31647038,-2.3989809,0.17045252,0.1801949,-0.09203261,0.18363793,-0.8432139,-0.09855168,0.005482191,0.14754942,-0.04179307,0.28073278,0.28180522,0.7701045,0.10848041,-0.1653013,-0.13692714,0.28759298,0.2795844,0.9385406,-0.14830972,-0.0142390095
EML4::ALK_Fusion AND ALK L1196M,0.43382904,0.52032363,-0.63363034,0.6075007,0.24268319,-0.013786891,0.9150091,-0.28291684,-0.73940325,-0.82837695,0.3132276,-0.18113735,0.33796737,-0.09155134,0.11094027,0.77466905,0.18420678,0.46304628,-0.035003103,-0.16769372,-0.43305004,0.270964,0.103587575,-0.10881136,-0.16631933,0.11882076,2.23148,0.06735441,0.06796879,-0.87600476,0.4046475,0.22171205,-0.5918229,0.7910874,-0.83111143,0.4565426,-0.47185278,-0.03964502,-0.7171362,-0.3071329,0.40461215,-0.084047444,-0.35702175,-0.012310027,-0.12923862,-0.016945109,0.8788335,0.4723715,0.018668815,0.11288643,-0.49893808,-0.31246972,2.0385022,0.35487923,0.26638144,-0.32726064,-0.023778975,-0.2627328,0.2887084,0.25747323,2.0434158,0.1501354,-0.2937473,-0.8087554
Alectinib,-0.09541799,-0.16001494,0.04910485,0.1407502,0.16150074,-0.20268212,0.0730642,-0.6061018,0.30543265,0.07042326,-0.034480657,-0.13827245,-0.37641257,0.08761494,-0.49705163,0.055906523,0.41173697,-0.07252367,-0.036434732,0.5258471,0.18859604,0.025323603,-0.08501902,-0.3178384,-0.57368463,0.48332474,0.083963506,0.6615027,0.32098097,0.18794154,0.05177171,-0.2840212,0.34995803,-0.3660244,-0.45658806,-0.17829295,-0.27082494,0.009069923,-0.5843251,0.07212971,0.26755747,1.0584034,0.049872357,-0.17652532,-0.66939265,1.3256499,0.13186094,0.3786657,1.3653632,-0.4030175,0.13955252,0.8287521,0.20480758,-1.148613,-0.092128895,0.19307286,0.040158685,0.07393924,0.43323913,0.28144524,-0.059876833,0.5697205,-0.49951607,0.31379446
TSC1,-0.31503618,0.7090711,0.7087181,0.19148768,-1.2326224,-0.118864216,0.57945406,0.24827108,-0.29353654,-0.028168429,-1.4763377,0.06928678,-0.26452217,-0.053622358,-0.001213412,0.0054963436,0.31854194,-0.15282424,-0.22020347,-0.685566,0.027589004,-1.0655812,1.2131097,0.072097145,0.51861036,-0.057925824,-0.9186369,0.08591602,0.7829092,0.31013358,0.71737427,0.889629,0.1504861,0.34106016,-0.3304686,-0.39760223,0.6287392,0.37781674,-0.7892031,-0.2431312,-0.1441547,-0.52609557,0.85414064,1.0266366,-0.02318625,0.083044134,-0.7511088,-0.43479776,0.4392167,-0.052130744,0.39170772,0.44995967,-0.1372735,-0.24860597,0.39438197,-0.40019834,0.24733295,0.38717356,-0.00019136828,1.0256982,0.30362388,-0.1196696,-0.1293601,0.01857778
TSC1_Frameshift Truncation,-0.118493736,-0.06717535,-0.035029832,0.09733874,1.0765142,-0.10288702,1.6453787,1.0281451,0.42591655,0.51008505,0.08840778,-0.0022512248,-0.085466355,-0.045615602,0.0057501714,0.4522504,0.69235957,0.13475369,-0.08280654,0.10120806,0.6202452,0.44711888,-0.57473797,0.07902316,-1.0489562,0.31940183,0.26607254,0.74631363,0.1936601,0.17867942,-0.044442877,0.0046367515,-0.05931677,0.44742545,-0.12061531,-0.1414513,-0.8000776,1.1419377,-0.5535936,-0.1526557,0.048774187,0.08361203,0.18824312,0.07246114,-0.017376347,0.3051245,0.17811841,-0.4792419,0.73999625,-0.30502024,0.3015448,0.2699483,-0.10008248,-0.23558697,-0.32280737,0.604289,0.16876134,0.075601585,0.17224136,0.82193184,-0.5585867,0.18039617,-0.3499847,0.6274703
Sirolimus,0.4286036,0.115399785,0.15297687,0.46133527,0.6600006,0.23668024,0.12006617,-1.5340284,-0.13645898,0.15299602,0.09746281,1.7842776,-0.3217784,-0.009826284,0.19315025,0.31267324,0.19398923,-0.49033412,0.03797233,-0.52486974,0.20357758,0.5034508,-1.2538197,-0.21531594,0.27980238,0.37465388,-0.060186796,-0.73716307,1.0093218,0.059013627,0.027418207,0.83832,-0.019903718,0.66213584,-0.40882576,-0.35817525,0.08381219,0.23270093,-0.17856011,0.2770464,0.14330703,0.6832137,-0.23316956,0.1733462,-0.42595896,0.45689,0.17666495,0.15647481,-0.05011795,-0.1682096,0.85771585,1.5533435,-0.47596785,0.32593706,0.31805417,0.2562068,0.45989037,0.054740846,-0.21219099,-0.17662062,0.29473698,-1.280854,0.10448426,-0.20747687
